consumo_km_l,peso_kg,tipo_carro
14.5,802,G
14.9,805,A
15.1,806,H
15.6,811,G
14.1,814,G
15.5,817,G
14.8,821,G
15.2,822,G
15.1,828,G
14.9,831,G
13.7,833,H
14.3,838,H
14.7,842,H
13.6,843,H
13.9,847,H
14.6,852,H
14.7,856,G
14.5,856,G
13.5,860,G
13.3,864,G
15,869,G
14.2,869,A
14,876,H
13.8,879,A
13.1,879,A
14.2,884,A
13.6,887,A
13.6,892,A
14.4,894,A
14.2,899,A
14.6,902,A
13.3,905,H
14,907,H
14.5,912,H
12.7,912,H
12.8,919,A
12.7,919,A
12.4,923,A
13.4,929,G
13.7,932,G
14.1,934,G
13.9,938,G
12.5,939,G
14.4,946,G
12.6,948,G
13.1,953,G
12.7,956,G
12.9,959,G
13.1,963,G
13,965,G
12.9,967,G
12.9,971,G
12.5,974,G
12.4,979,G
11.6,980,G
12.4,986,G
12.3,989,G
14.5,990,G
11.6,994,A
12.6,998,A
11.5,1002,A
11.4,1007,A
12.5,1009,A
11.7,1012,A
12.3,1017,A
12,1017,A
11.8,1021,A
10.8,1027,H
11.3,1029,H
12.3,1031,H
12.5,1033,A
11.7,1037,A
12,1041,G
12.8,1045,G
12.9,1048,G
11.1,1053,G
11.8,1053,G
12.7,1058,G
11.5,1062,G
11.7,1064,G
11.7,1069,G
11.1,1071,G
11.3,1075,G
11.6,1080,G
11.3,1083,G
12.3,1086,A
11.2,1088,H
11.2,1091,H
11.9,1094,H
10.7,1098,H
11.3,1103,H
10.3,1104,A
12.1,1108,A
11,1114,A
10.8,1118,G
10.3,1120,G
11.1,1122,G
10.5,1126,G
10.6,1130,G
11.9,1133,G
10.8,1137,G
10.2,1138,A
11,1142,A
10.6,1146,A
11.2,1151,A
11.7,1155,A
10,1157,A
11,1161,A
10.7,1163,A
11.2,1164,A
10.4,1170,H
11.1,1174,A
9.3,1177,A
11.6,1180,H
11,1183,H
10.3,1187,H
9.4,1188,H
10.7,1193,H
10.6,1197,H
10.2,1201,H
